[+0.0000000000000e+00, +0.0000000000000e+00]
[-1.3722090037258e+07, -1.3722090037258e+07]
[-1.3721117923254e+07, -1.3721117923254e+07]
[-1.3720143599519e+07, -1.3720143599519e+07]
[-1.3719167071581e+07, -1.3719167071581e+07]
[-1.3718188344975e+07, -1.3718188344975e+07]
[-1.3717207425246e+07, -1.3717207425246e+07]
[-1.3716224317946e+07, -1.3716224317946e+07]
[-1.3715239028638e+07, -1.3715239028638e+07]
[-1.3714251562890e+07, -1.3714251562890e+07]
[-1.3713261926280e+07, -1.3713261926280e+07]
[-1.3712270124394e+07, -1.3712270124394e+07]
[-1.3711276162825e+07, -1.3711276162825e+07]
[-1.3710280047175e+07, -1.3710280047175e+07]
[-1.3709281783054e+07, -1.3709281783054e+07]
[-1.3708281376079e+07, -1.3708281376079e+07]
[-1.3707278831877e+07, -1.3707278831877e+07]
[-1.3706274156079e+07, -1.3706274156079e+07]
[-1.3705267354327e+07, -1.3705267354327e+07]
[-1.3704258432269e+07, -1.3704258432269e+07]
[-1.3703247395562e+07, -1.3703247395562e+07]
[-1.3702234249869e+07, -1.3702234249869e+07]
[-1.3701219000862e+07, -1.3701219000862e+07]
[-1.3700201654220e+07, -1.3700201654220e+07]
[-1.3699182215627e+07, -1.3699182215627e+07]
[-1.3698160690778e+07, -1.3698160690778e+07]
[-1.3697137085373e+07, -1.3697137085373e+07]
[-1.3696111405120e+07, -1.3696111405120e+07]
[-1.3695083655734e+07, -1.3695083655734e+07]
[-1.3694053842938e+07, -1.3694053842938e+07]
[-1.3693021972459e+07, -1.3693021972459e+07]
[-1.3691988050035e+07, -1.3691988050035e+07]
[-1.3690952081407e+07, -1.3690952081407e+07]
[-1.3689914072327e+07, -1.3689914072327e+07]
[-1.3688874028551e+07, -1.3688874028551e+07]
[-1.3687831955842e+07, -1.3687831955842e+07]
[-1.3686787859970e+07, -1.3686787859970e+07]
[-1.3685741746713e+07, -1.3685741746713e+07]
[-1.3684693621852e+07, -1.3684693621852e+07]
[-1.3683643491180e+07, -1.3683643491180e+07]
[-1.3682591360491e+07, -1.3682591360491e+07]
[-1.3681537235589e+07, -1.3681537235589e+07]
[-1.3680481122282e+07, -1.3680481122282e+07]
[-1.3679423026386e+07, -1.3679423026386e+07]
[-1.3678362953723e+07, -1.3678362953723e+07]
[-1.3677300910121e+07, -1.3677300910121e+07]
[-1.3676236901414e+07, -1.3676236901414e+07]
[-1.3675170933442e+07, -1.3675170933442e+07]
