[-4.9560089303690e+02, +7.6378639831717e+03, +0.0000000000000e+00; +4.1493711741201e-23, +1.4289033626552e-24, +0.0000000000000e+00]
[-5.1106016658650e+02, +7.6367855572557e+03, +0.0000000000000e+00; +4.2788024663973e-23, +1.5191935431634e-24, +0.0000000000000e+00]
[-5.2651684728376e+02, +7.6356741568329e+03, +0.0000000000000e+00; +4.4082120502659e-23, +1.6122444827853e-24, +0.0000000000000e+00]
[-5.4197085761116e+02, +7.6345297891493e+03, +0.0000000000000e+00; +4.5375992767177e-23, +1.7080555748483e-24, +0.0000000000000e+00]
[-5.5742212007576e+02, +7.6333524616623e+03, +0.0000000000000e+00; +4.6669634969504e-23, +1.8066261949930e-24, +0.0000000000000e+00]
[-5.7287055720983e+02, +7.6321421820404e+03, +0.0000000000000e+00; +4.7963040623730e-23, +1.9079557011813e-24, +0.0000000000000e+00]
[-5.8831609157161e+02, +7.6308989581631e+03, +0.0000000000000e+00; +4.9256203246116e-23, +2.0120434337055e-24, +0.0000000000000e+00]
[-6.0375864574597e+02, +7.6296227981210e+03, +0.0000000000000e+00; +5.0549116355155e-23, +2.1188887151970e-24, +0.0000000000000e+00]
[-6.1919814234513e+02, +7.6283137102153e+03, +0.0000000000000e+00; +5.1841773471628e-23, +2.2284908506354e-24, +0.0000000000000e+00]
[-6.3463450400933e+02, +7.6269717029581e+03, +0.0000000000000e+00; +5.3134168118664e-23, +2.3408491273579e-24, +0.0000000000000e+00]
[-6.5006765340753e+02, +7.6255967850721e+03, +0.0000000000000e+00; +5.4426293821796e-23, +2.4559628150692e-24, +0.0000000000000e+00]
[-6.6549751323815e+02, +7.6241889654904e+03, +0.0000000000000e+00; +5.5718144109021e-23, +2.5738311658508e-24, +0.0000000000000e+00]
[-6.8092400622967e+02, +7.6227482533564e+03, +0.0000000000000e+00; +5.7009712510856e-23, +2.6944534141716e-24, +0.0000000000000e+00]
[-6.9634705514141e+02, +7.6212746580240e+03, +0.0000000000000e+00; +5.8300992560400e-23, +2.8178287768980e-24, +0.0000000000000e+00]
[-7.1176658276419e+02, +7.6197681890570e+03, +0.0000000000000e+00; +5.9591977793385e-23, +2.9439564533045e-24, +0.0000000000000e+00]
[-7.2718251192101e+02, +7.6182288562293e+03, +0.0000000000000e+00; +6.0882661748242e-23, +3.0728356250841e-24, +0.0000000000000e+00]
[-7.4259476546774e+02, +7.6166566695245e+03, +0.0000000000000e+00; +6.2173037966154e-23, +3.2044654563602e-24, +0.0000000000000e+00]
