[+7.1614112304158e+06, +3.8257422752489e+05, +0.0000000000000e+00; +8.0281058140004e-22, +1.4426718174666e-23, +0.0000000000000e+00]
[+7.1606249838740e+06, +3.9786257534841e+05, +0.0000000000000e+00; +8.6863832267360e-22, +1.6227939402256e-23, +0.0000000000000e+00]
[+7.1598077883551e+06, +4.1314920356809e+05, +0.0000000000000e+00; +9.3705723752019e-22, +1.8173132820819e-23, +0.0000000000000e+00]
[+7.1589596480164e+06, +4.2843404614960e+05, +0.0000000000000e+00; +1.0080669778607e-21, +2.0267827090994e-23, +0.0000000000000e+00]
[+7.1580805671709e+06, +4.4371703707030e+05, +0.0000000000000e+00; +1.0816671826115e-21, +2.2517549894823e-23, +0.0000000000000e+00]
[+7.1571705502865e+06, +4.5899811031968e+05, +0.0000000000000e+00; +1.1578574776879e-21, +2.4927827900273e-23, +0.0000000000000e+00]
[+7.1562296019866e+06, +4.7427719989973e+05, +0.0000000000000e+00; +1.2366374760076e-21, +2.7504186725776e-23, +0.0000000000000e+00]
[+7.1552577270496e+06, +4.8955423982545e+05, +0.0000000000000e+00; +1.3180067774943e-21, +3.0252150904784e-23, +0.0000000000000e+00]
[+7.1542549304093e+06, +5.0482916412518e+05, +0.0000000000000e+00; +1.4019649690810e-21, +3.3177243850340e-23, +0.0000000000000e+00]
[+7.1532212171544e+06, +5.2010190684108e+05, +0.0000000000000e+00; +1.4885116247144e-21, +3.6284987819659e-23, +0.0000000000000e+00]
[+7.1521565925288e+06, +5.3537240202954e+05, +0.0000000000000e+00; +1.5776463053586e-21, +3.9580903878726e-23, +0.0000000000000e+00]
[+7.1510610619313e+06, +5.5064058376160e+05, +0.0000000000000e+00; +1.6693685589986e-21, +4.3070511866919e-23, +0.0000000000000e+00]
[+7.1499346309158e+06, +5.6590638612337e+05, +0.0000000000000e+00; +1.7636779206456e-21, +4.6759330361633e-23, +0.0000000000000e+00]
[+7.1487773051910e+06, +5.8116974321646e+05, +0.0000000000000e+00; +1.8605739123400e-21, +5.0652876642934e-23, +0.0000000000000e+00]
[+7.1475890906205e+06, +5.9643058915839e+05, +0.0000000000000e+00; +1.9600560431567e-21, +5.4756666658228e-23, +0.0000000000000e+00]
[+7.1463699932228e+06, +6.1168885808302e+05, +0.0000000000000e+00; +2.0621238092093e-21, +5.9076214986940e-23, +0.0000000000000e+00]
[+7.1451200191710e+06, +6.2694448414098e+05, +0.0000000000000e+00; +2.1667766936546e-21, +6.3617034805223e-23, +0.0000000000000e+00]
[+7.1438391747930e+06, +6.4219740150007e+05, +0.0000000000000e+00; +2.2740141666974e-21, +6.8384637850679e-23, +0.0000000000000e+00]
[+7.1425274665713e+06, +6.5744754434571e+05, +0.0000000000000e+00; +2.3838356855957e-21, +7.3384534387099e-23, +0.0000000000000e+00]
[+7.1411849011429e+06, +6.7269484688133e+05, +0.0000000000000e+00; +2.4962406946650e-21, +7.8622233169226e-23, +0.0000000000000e+00]
[+7.1398114852996e+06, +6.8793924332880e+05, +0.0000000000000e+00; +2.6112286252840e-21, +8.4103241407538e-23, +0.0000000000000e+00]
[+7.1384072259874e+06, +7.0318066792887e+05, +0.0000000000000e+00; +2.7287988958995e-21, +8.9833064733050e-23, +0.0000000000000e+00]
[+7.1369721303067e+06, +7.1841905494157e+05, +0.0000000000000e+00; +2.8489509120318e-21, +9.5817207162139e-23, +0.0000000000000e+00]
[+7.1355062055124e+06, +7.3365433864663e+05, +0.0000000000000e+00; +2.9716840662801e-21, +1.0206117106139e-22, +0.0000000000000e+00]
[+7.1340094590134e+06, +7.4888645334391e+05, +0.0000000000000e+00; +3.0969977383280e-21, +1.0857045711245e-22, +0.0000000000000e+00]
[+7.1324818983731e+06, +7.6411533335380e+05, +0.0000000000000e+00; +3.2248912949493e-21, +1.1535056427696e-22, +0.0000000000000e+00]
[+7.1309235313089e+06, +7.7934091301769e+05, +0.0000000000000e+00; +3.3553640900138e-21, +1.2240698976142e-22, +0.0000000000000e+00]
[+7.1293343656921e+06, +7.9456312669831e+05, +0.0000000000000e+00; +3.4884154644929e-21, +1.2974522898214e-22, +0.0000000000000e+00]
[+7.1277144095482e+06, +8.0978190878021e+05, +0.0000000000000e+00; +3.6240447464659e-21, +1.3737077553023e-22, +0.0000000000000e+00]
[+7.1260636710566e+06, +8.2499719367016e+05, +0.0000000000000e+00; +3.7622512511261e-21, +1.4528912113655e-22, +0.0000000000000e+00]
[+7.1243821585503e+06, +8.4020891579756e+05, +0.0000000000000e+00; +3.9030342807870e-21, +1.5350575563675e-22, +0.0000000000000e+00]
[+7.1226698805163e+06, +8.5541700961486e+05, +0.0000000000000e+00; +4.0463931248885e-21, +1.6202616693627e-22, +0.0000000000000e+00]
[+7.1209268455953e+06, +8.7062140959801e+05, +0.0000000000000e+00; +4.1923270600037e-21, +1.7085584097544e-22, +0.0000000000000e+00]
[+7.1191530625815e+06, +8.8582205024681e+05, +0.0000000000000e+00; +4.3408353498450e-21, +1.8000026169455e-22, +0.0000000000000e+00]
[+7.1173485404225e+06, +9.0101886608539e+05, +0.0000000000000e+00; +4.4919172452714e-21, +1.8946491099896e-22, +0.0000000000000e+00]
[+7.1155132882196e+06, +9.1621179166259e+05, +0.0000000000000e+00; +4.6455719842948e-21, +1.9925526872425e-22, +0.0000000000000e+00]
[+7.1136473152273e+06, +9.3140076155239e+05, +0.0000000000000e+00; +4.8017987920874e-21, +2.0937681260141e-22, +0.0000000000000e+00]
