[+1.4562578541537e+07, +1.3013476182402e-19]
[+1.4561533377165e+07, +1.3172343805799e-19]
[+1.4560482246674e+07, +1.3332133334909e-19]
[+1.4559425156626e+07, +1.3492843769912e-19]
[+1.4558362113617e+07, +1.3654474105623e-19]
[+1.4557293124277e+07, +1.3817023331503e-19]
[+1.4556218195271e+07, +1.3980490431676e-19]
[+1.4555137333300e+07, +1.4144874384937e-19]
[+1.4554050545097e+07, +1.4310174164769e-19]
[+1.4552957837431e+07, +1.4476388739351e-19]
[+1.4551859217103e+07, +1.4643517071578e-19]
[+1.4550754690951e+07, +1.4811558119067e-19]
[+1.4549644265844e+07, +1.4980510834174e-19]
[+1.4548527948688e+07, +1.5150374164005e-19]
[+1.4547405746420e+07, +1.5321147050433e-19]
[+1.4546277666012e+07, +1.5492828430105e-19]
[+1.4545143714471e+07, +1.5665417234462e-19]
[+1.4544003898834e+07, +1.5838912389747e-19]
[+1.4542858226176e+07, +1.6013312817022e-19]
[+1.4541706703601e+07, +1.6188617432178e-19]
[+1.4540549338250e+07, +1.6364825145954e-19]
[+1.4539386137295e+07, +1.6541934863944e-19]
[+1.4538217107941e+07, +1.6719945486614e-19]
[+1.4537042257428e+07, +1.6898855909316e-19]
[+1.4535861593027e+07, +1.7078665022303e-19]
[+1.4534675122042e+07, +1.7259371710736e-19]
[+1.4533482851812e+07, +1.7440974854707e-19]
[+1.4532284789705e+07, +1.7623473329248e-19]
[+1.4531080943125e+07, +1.7806866004342e-19]
[+1.4529871319507e+07, +1.7991151744944e-19]
[+1.4528655926318e+07, +1.8176329410990e-19]
[+1.4527434771058e+07, +1.8362397857413e-19]
[+1.4526207861259e+07, +1.8549355934156e-19]
[+1.4524975204486e+07, +1.8737202486186e-19]
[+1.4523736808334e+07, +1.8925936353511e-19]
[+1.4522492680431e+07, +1.9115556371191e-19]
[+1.4521242828438e+07, +1.9306061369353e-19]
[+1.4519987260046e+07, +1.9497450173207e-19]
[+1.4518725982979e+07, +1.9689721603059e-19]
[+1.4517459004992e+07, +1.9882874474324e-19]
[+1.4516186333871e+07, +2.0076907597546e-19]
[+1.4514907977434e+07, +2.0271819778405e-19]
[+1.4513623943530e+07, +2.0467609817738e-19]
[+1.4512334240040e+07, +2.0664276511549e-19]
[+1.4511038874874e+07, +2.0861818651028e-19]
[+1.4509737855976e+07, +2.1060235022560e-19]
[+1.4508431191318e+07, +2.1259524407747e-19]
[+1.4507118888905e+07, +2.1459685583416e-19]
[+1.4505800956771e+07, +2.1660717321639e-19]
[+1.4504477402982e+07, +2.1862618389745e-19]
[+1.4503148235634e+07, +2.2065387550336e-19]
[+1.4501813462853e+07, +2.2269023561300e-19]
[+1.4500473092796e+07, +2.2473525175830e-19]
[+1.4499127133649e+07, +2.2678891142435e-19]
[+1.4497775593630e+07, +2.2885120204959e-19]
[+1.4496418480985e+07, +2.3092211102592e-19]
[+1.4495055803992e+07, +2.3300162569888e-19]
[+1.4493687570958e+07, +2.3508973336781e-19]
[+1.4492313790218e+07, +2.3718642128596e-19]
[+1.4490934470138e+07, +2.3929167666069e-19]
[+1.4489549619116e+07, +2.4140548665361e-19]
[+1.4488159245575e+07, +2.4352783838071e-19]
[+1.4486763357969e+07, +2.4565871891254e-19]
[+1.4485361964784e+07, +2.4779811527437e-19]
[+1.4483955074530e+07, +2.4994601444632e-19]
[+1.4482542695750e+07, +2.5210240336352e-19]
[+1.4481124837015e+07, +2.5426726891631e-19]
[+1.4479701506923e+07, +2.5644059795031e-19]
[+1.4478272714104e+07, +2.5862237726668e-19]
[+1.4476838467214e+07, +2.6081259362218e-19]
[+1.4475398774937e+07, +2.6301123372940e-19]
[+1.4473953645989e+07, +2.6521828425688e-19]
[+1.4472503089110e+07, +2.6743373182928e-19]
[+1.4471047113072e+07, +2.6965756302752e-19]
[+1.4469585726671e+07, +2.7188976438898e-19]
[+1.4468118938736e+07, +2.7413032240762e-19]
[+1.4466646758119e+07, +2.7637922353415e-19]
[+1.4465169193702e+07, +2.7863645417621e-19]
[+1.4463686254396e+07, +2.8090200069849e-19]
[+1.4462197949137e+07, +2.8317584942293e-19]
[+1.4460704286891e+07, +2.8545798662886e-19]
[+1.4459205276649e+07, +2.8774839855316e-19]
[+1.4457700927430e+07, +2.9004707139045e-19]
[+1.4456191248281e+07, +2.9235399129319e-19]
[+1.4454676248275e+07, +2.9466914437192e-19]
[+1.4453155936513e+07, +2.9699251669535e-19]
[+1.4451630322123e+07, +2.9932409429059e-19]
[+1.4450099414257e+07, +3.0166386314324e-19]
[+1.4448563222097e+07, +3.0401180919763e-19]
[+1.4447021754851e+07, +3.0636791835691e-19]
[+1.4445475021750e+07, +3.0873217648329e-19]
[+1.4443923032056e+07, +3.1110456939812e-19]
[+1.4442365795054e+07, +3.1348508288213e-19]
[+1.4440803320057e+07, +3.1587370267556e-19]
[+1.4439235616403e+07, +3.1827041447830e-19]
[+1.4437662693455e+07, +3.2067520395012e-19]
[+1.4436084560604e+07, +3.2308805671078e-19]
[+1.4434501227265e+07, +3.2550895834022e-19]
[+1.4432912702878e+07, +3.2793789437870e-19]
[+1.4431318996911e+07, +3.3037485032702e-19]
[+1.4429720118855e+07, +3.3281981164663e-19]
[+1.4428116078228e+07, +3.3527276375983e-19]
[+1.4426506884570e+07, +3.3773369204992e-19]
[+1.4424892547450e+07, +3.4020258186138e-19]
[+1.4423273076460e+07, +3.4267941850003e-19]
[+1.4421648481215e+07, +3.4516418723321e-19]
[+1.4420018771359e+07, +3.4765687328992e-19]
[+1.4418383956556e+07, +3.5015746186102e-19]
[+1.4416744046498e+07, +3.5266593809938e-19]
[+1.4415099050898e+07, +3.5518228712004e-19]
[+1.4413448979498e+07, +3.5770649400042e-19]
[+1.4411793842058e+07, +3.6023854378044e-19]
[+1.4410133648368e+07, +3.6277842146271e-19]
[+1.4408468408238e+07, +3.6532611201272e-19]
[+1.4406798131503e+07, +3.6788160035897e-19]
[+1.4405122828022e+07, +3.7044487139317e-19]
[+1.4403442507677e+07, +3.7301590997040e-19]
[+1.4401757180374e+07, +3.7559470090927e-19]
[+1.4400066856041e+07, +3.7818122899212e-19]
[+1.4398371544633e+07, +3.8077547896515e-19]
[+1.4396671256122e+07, +3.8337743553862e-19]
[+1.4394966000509e+07, +3.8598708338703e-19]
[+1.4393255787815e+07, +3.8860440714926e-19]
[+1.4391540628084e+07, +3.9122939142875e-19]
[+1.4389820531383e+07, +3.9386202079369e-19]
[+1.4388095507801e+07, +3.9650227977718e-19]
[+1.4386365567450e+07, +3.9915015287740e-19]
[+1.4384630720465e+07, +4.0180562455777e-19]
[+1.4382890977002e+07, +4.0446867924716e-19]
[+1.4381146347241e+07, +4.0713930134002e-19]
[+1.4379396841380e+07, +4.0981747519658e-19]
[+1.4377642469644e+07, +4.1250318514302e-19]
