--------------------------------------------------------------------------
| Results file:                                                          |
| - List of particles positions at each delta T step.                    |
--------------------------------------------------------------------------
[1.5083345174789429,0.16699156165122986,0.23095500469207764;0.8290872573852539,0.9646774530410767,1.5347301959991455;1.0566208362579346,1.3850563764572144,1.7358312606811523;1.7436624765396118,1.4976390600204468,1.0766116380691528;0.29420071840286255,0.6988561153411865,0.578787088394165;0.22536419332027435,1.6680374145507812,0.7281004190444946;0.09189124405384064,1.7841352224349976,0.0010693153599277139;0.7002402544021606,1.1614108085632324,1.8877190351486206;1.204478144645691,0.41794994473457336,1.669965147972107;0.9741935133934021,1.3602688312530518,0.24233028292655945;1.4784904718399048,1.2667988538742065,1.9648503065109253;0.5633512735366821,0.30768588185310364,1.1641099452972412;1.1175979375839233,0.04785200208425522,0.5533536076545715;1.297831654548645,0.5956453084945679,0.04630786180496216;0.015361849218606949,1.5187596082687378,0.6011574268341064;0.5655873417854309,0.819834291934967,0.7588834762573242]
[1.5077372789382935,0.1682962328195572,0.23079562187194824;0.830062747001648,0.9631047248840332,1.5353672504425049;1.0567402839660645,1.3858128786087036,1.734185814857483;1.7437022924423218,1.4981566667556763,1.076372742652893;0.2930627465248108,0.6992741823196411,0.5789264440536499;0.22455380856990814,1.667201280593872,0.7278217077255249;0.09159305691719055,1.7829009294509888,0.000746397185139358;0.6993045806884766,1.1609548330307007,1.888378381729126;1.2052744626998901,0.419363409280777,1.6696068048477173;0.9727444648742676,1.3596715927124023,0.24144931137561798;1.4769376516342163,1.2653154134750366,1.965248465538025;0.5640878677368164,0.3089500367641449,1.1631543636322021;1.1185535192489624,0.0468897819519043,0.5532540678977966;1.298946499824524,0.5959633588790894,0.04469531774520874;0.014023576863110065,1.5203920602798462,0.6024315357208252;0.5651294589042664,0.8202921748161316,0.7577089071273804]
[1.5071418285369873,0.16960377991199493,0.23063187301158905;0.831035315990448,0.961536705493927,1.5360023975372314;1.0568593740463257,1.3865671157836914,1.732558250427246;1.7437419891357422,1.4986727237701416,1.0761345624923706;0.29193174839019775,0.6996909976005554,0.5790653824806213;0.2237333506345749,1.6663676500320435,0.727543830871582;0.09129190444946289,1.781670331954956,0.00042341387597844005;0.6983717083930969,1.1605181694030762,1.8890135288238525;1.2060683965682983,0.4207690954208374,1.6692495346069336;0.9712955355644226,1.3590761423110962,0.24056605994701385;1.4753894805908203,1.2638466358184814,1.965645432472229;0.564822256565094,0.3102104067802429,1.1622016429901123;1.1195062398910522,0.045933399349451065,0.5531548261642456;1.3000580072402954,0.5962610840797424,0.04308762401342392;0.012689861468970776,1.522019624710083,0.6037018299102783;0.5646729469299316,0.8207486867904663,0.7565378546714783]
[1.5065463781356812,0.170917809009552,0.2304658591747284;0.832007884979248,0.9599686861038208,1.536637544631958;1.056978464126587,1.3873213529586792,1.7309306859970093;1.7437816858291626,1.499188780784607,1.0758963823318481;0.29081031680107117,0.7001223564147949,0.5792043209075928;0.22289898991584778,1.6655340194702148,0.7272561192512512;0.09098707884550095,1.7804397344589233,9.914494876284152e-5;0.6974388360977173,1.1600815057754517,1.889648675918579;1.2068623304367065,0.42216840386390686,1.66889226436615;0.9698466062545776,1.35848069190979,0.23968280851840973;1.4738408327102661,1.2623778581619263,1.966042399406433;0.5655566453933716,0.31147077679634094,1.1612489223480225;1.120458960533142,0.04498004913330078,0.5530555844306946;1.301169514656067,0.5965588092803955,0.041481148451566696;0.01135686319321394,1.5236471891403198,0.6049721240997314;0.5642164349555969,0.821205198764801,0.7553668022155762]
[1.5059491395950317,0.1722431629896164,0.23029664158821106;0.8329833745956421,0.9583959579467773,1.5372531414031982;1.0570979118347168,1.3880778551101685,1.7292982339859009;1.7438215017318726,1.4997260570526123,1.0756574869155884;0.2896900773048401,0.7005603313446045,0.5793436765670776;0.22204817831516266,1.6646757125854492,0.7269574999809265;0.09067734330892563,1.7792054414749146,-0.00022740104759577662;0.6965031623840332,1.159643530845642,1.8902857303619385;1.2076586484909058,0.423571914434433,1.6685339212417603;0.9683933258056641,1.3578834533691406,0.2387969046831131;1.4722481966018677,1.2609046697616577,1.9664405584335327;0.5662932395935059,0.3127349317073822,1.1602933406829834;1.1214145421981812,0.04402685910463333,0.5529560446739197;1.3022843599319458,0.5968574285507202,0.03986995667219162;0.010020722635090351,1.5252796411514282,0.6062462329864502;0.5637585520744324,0.8216630816459656,0.7541922330856323]
[1.5053536891937256,0.1735709309577942,0.23012341558933258;0.8339559435844421,0.9568279385566711,1.5378485918045044;1.057217001914978,1.388796329498291,1.727670669555664;1.743861198425293,1.500281810760498,1.075419306755066;0.2885785698890686,0.700996994972229,0.5794826149940491;0.22118595242500305,1.6638023853302002,0.7266597747802734;0.09036481380462646,1.7779748439788818,-0.0005542694125324488;0.6955702900886536,1.1592068672180176,1.890920877456665;1.208452582359314,0.42496389150619507,1.6681766510009766;0.9669443964958191,1.3572880029678345,0.23791365325450897;1.4706603288650513,1.2594358921051025,1.9668375253677368;0.5670276284217834,0.3139953017234802,1.1593406200408936;1.122367262840271,0.0430794395506382,0.5528568029403687;1.3033958673477173,0.5971551537513733,0.038264721632003784;0.008689360693097115,1.526907205581665,0.6075165271759033;0.5633020401000977,0.8221195936203003,0.7530211806297302]
[1.5047582387924194,0.1749054342508316,0.229948028922081;0.8349285125732422,0.9552599191665649,1.5384440422058105;1.0573360919952393,1.3895108699798584,1.7260431051254272;1.7439008951187134,1.5008375644683838,1.0751811265945435;0.2874757945537567,0.7014336585998535,0.5796215534210205;0.22030936181545258,1.6629290580749512,0.7263620495796204;0.0900484248995781,1.7767442464828491,-0.0008820792427286506;0.6946374177932739,1.158770203590393,1.8915560245513916;1.2092465162277222,0.4263532757759094,1.6678193807601929;0.9654954671859741,1.3566925525665283,0.23702587187290192;1.4690724611282349,1.2579671144485474,1.967234492301941;0.567762017250061,0.31525567173957825,1.1583878993988037;1.1233199834823608,0.04213515296578407,0.5527575612068176;1.3045073747634888,0.5974384546279907,0.036659616976976395;0.007358646020293236,1.5285347700119019,0.6087868213653564;0.5628455281257629,0.822576105594635,0.7518501281738281]
[1.50416100025177,0.17625115811824799,0.22976885735988617;0.8359040021896362,0.9536871910095215,1.53904128074646;1.0574555397033691,1.3902275562286377,1.7244106531143188;1.7439407110214233,1.5013949871063232,1.0749422311782837;0.28637370467185974,0.7018762826919556,0.5797807574272156;0.21941591799259186,1.662053108215332,0.7260634303092957;0.08972713351249695,1.7755099534988403,-0.0012119535822421312;0.6937017440795898,1.1583322286605835,1.892193078994751;1.2100428342819214,0.4277459681034088,1.6674610376358032;0.9640421867370605,1.356095314025879,0.23613499104976654;1.4674798250198364,1.2564939260482788,1.9676326513290405;0.5684986114501953,0.3165198266506195,1.1574323177337646;1.1242755651474,0.04119093716144562,0.5526580214500427;1.3056222200393677,0.5977171659469604,0.035050805658102036;0.00602452689781785,1.5301672220230103,0.6100609302520752;0.5623876452445984,0.8230339884757996,0.7506755590438843]
[1.5035655498504639,0.17759905755519867,0.22958627343177795;0.8368765711784363,0.9521191716194153,1.5396367311477661;1.0575746297836304,1.390942096710205,1.722783088684082;1.7439804077148438,1.501950740814209,1.0747040510177612;0.28528204560279846,0.7023327946662903,0.5799395442008972;0.21850958466529846,1.661179780960083,0.7257473468780518;0.08940310776233673,1.7742793560028076,-0.0015418861294165254;0.6927688717842102,1.157895565032959,1.8928282260894775;1.2108367681503296,0.42912542819976807,1.6671037673950195;0.9625927805900574,1.3554998636245728,0.23524677753448486;1.46589195728302,1.2550251483917236,1.9680296182632446;0.5692330002784729,0.31778019666671753,1.1564795970916748;1.1252282857894897,0.040252577513456345,0.5525587797164917;1.3067337274551392,0.5979950428009033,0.03344681113958359;0.0046951305121183395,1.531794786453247,0.6113312244415283;0.5619311332702637,0.8234905004501343,0.7495045065879822]
[1.5029700994491577,0.17895416915416718,0.2294013947248459;0.8378491401672363,0.9505511522293091,1.5402321815490723;1.0576937198638916,1.3916566371917725,1.7211555242538452;1.7440201044082642,1.5025064945220947,1.0744658708572388;0.28419703245162964,0.702789306640625,0.5800983309745789;0.2175886183977127,1.6602872610092163,0.7254297733306885;0.08907508850097656,1.773048758506775,-0.0018729931907728314;0.6918359994888306,1.1574589014053345,1.893463373184204;1.2116307020187378,0.4305048882961273,1.6667464971542358;0.9611240029335022,1.3549044132232666,0.23435856401920319;1.4643040895462036,1.2535563707351685,1.9684265851974487;0.5699673891067505,0.31904056668281555,1.155526876449585;1.1261810064315796,0.03931717574596405,0.5524595379829407;1.3078452348709106,0.5982729196548462,0.031843774020671844;0.0033664379734545946,1.5334223508834839,0.6126015186309814;0.561474621295929,0.823947012424469,0.7483334541320801]
[1.5023728609085083,0.18032027781009674,0.22921226918697357;0.8388246297836304,0.9489681720733643,1.5408294200897217;1.0578131675720215,1.3923733234405518,1.7195230722427368;1.7440599203109741,1.5030639171600342,1.074226975440979;0.2831130921840668,0.7032471895217896,0.5802575945854187;0.21664923429489136,1.6593714952468872,0.7251112461090088;0.0887424647808075,1.7718144655227661,-0.0022065737284719944;0.6909003257751465,1.157020926475525,1.8941004276275635;1.212427020072937,0.4318838119506836,1.6663881540298462;0.9596508145332336,1.3543071746826172,0.23346444964408875;1.4627114534378052,1.2520831823349,1.9688247442245483;0.5707039833068848,0.3203047215938568,1.154571294784546;1.1271365880966187,0.0383819118142128,0.5523568987846375;1.3089600801467896,0.5985440611839294,0.030236270278692245;0.002034282311797142,1.5350548028945923,0.6138756275177002;0.5610167384147644,0.8244048953056335,0.7471588850021362]
[1.5017774105072021,0.1816895604133606,0.229019433259964;0.8397971987724304,0.9473803043365479,1.5414248704910278;1.0579322576522827,1.3930555582046509,1.7178955078125;1.7440996170043945,1.50361967086792,1.0739887952804565;0.2820412814617157,0.7037037014961243,0.5804163813591003;0.215697780251503,1.6584584712982178,0.7247936725616455;0.08840660005807877,1.7705838680267334,-0.0025408142246305943;0.6899674534797668,1.1565842628479004,1.89473557472229;1.2132209539413452,0.43325334787368774,1.6660308837890625;0.9581820368766785,1.353711724281311,0.23257127404212952;1.461122751235962,1.2506144046783447,1.969220519065857;0.5714383721351624,0.32156509160995483,1.153618574142456;1.1280893087387085,0.03745250031352043,0.5522378087043762;1.310071587562561,0.5988020896911621,0.02863413654267788;0.0007068084087222815,1.536682367324829,0.6151459217071533;0.5605602264404297,0.8248614072799683,0.7459878325462341]
